,post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
43,47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,240,107,Rochus,2026-04-15 00:01:00,0.44398340248962653,True
44,47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,sports,625,152,iceberger2001,2026-04-15 00:01:00,0.24281150159744408,True
45,47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,438,277,neversaydie,2026-04-15 00:01:00,0.6309794988610479,True
46,47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,237,56,joko42,2026-04-15 00:01:00,0.23529411764705882,True
47,47698111,Bevy game development tutorials and in-depth resources,sports,139,72,GenericCanadian,2026-04-15 00:01:00,0.5142857142857142,True
48,47758453,Your Favorite Movies Were CIA Propaganda [video],entertainment,34,4,joe_mamba,2026-04-15 00:02:00,0.11428571428571428,False
49,47701769,The Bra-and-Girdle Maker That Fashioned the Impossible for NASA,science,135,19,sohkamyung,2026-04-15 00:02:00,0.13970588235294118,True
50,47749295,Show HN: Equirect – a Rust VR video player,sports,13,1,greggman65,2026-04-15 00:02:00,0.07142857142857142,False
51,47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,38,maouida,2026-04-15 00:02:00,0.24358974358974358,True
52,47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,anigbrowl,2026-04-15 00:02:00,0.18421052631578946,False
53,47747248,"Haunt, the 70s text adventure game, is now playable on a website",sports,82,26,jscalo,2026-04-15 00:02:00,0.3132530120481928,False
54,47755938,Warp,worldnews,6,1,Resayours,2026-04-15 00:02:00,0.14285714285714285,False
55,47708818,Native Instant Space Switching on macOS,science,642,326,PaulHoule,2026-04-15 00:02:00,0.5069984447900466,True
56,47762272,"Linux 7.0 Released with New Hardware Support, Optimizations and Self-Healing XFS",worldnews,24,0,isaacfrond,2026-04-15 00:02:00,0.0,False
